Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"New Gold (feat. Tame Impala and Bootie Brown)","Gorillaz","Cracker Island","sunny summer rock for driving to the beach ","Playlist","GBAYE2200462","60SvhHtwefT0e2G7i7kOH3"
"Lost In Yesterday","Tame Impala","The Slow Rush","sunny summer rock for driving to the beach ","Playlist","AUUM71900932","5JWPUEov2wlX7c0jhYZpeB"
"Left Hand Free","alt-J","This Is All Yours","sunny summer rock for driving to the beach ","Playlist","GBZUZ1400272","1lrJG7wz58YNVlbJ6s6fJO"
"Smooth (feat. Rob Thomas)","Santana","Ultimate Santana","sunny summer rock for driving to the beach ","Playlist","USAR19900033","3i3GeK0qLQybu4ah42YmCY"
"Silent Running (feat. Adeleye Omotayo)","Gorillaz","Cracker Island","sunny summer rock for driving to the beach ","Playlist","GBAYE1901302","0ZGWe02EtMpw40QAzOVZD1"
"Oil (feat. Stevie Nicks)","Gorillaz","Cracker Island","sunny summer rock for driving to the beach ","Playlist","GBAYE2200460","36MGfjOTOwx1udRX5dDnoJ"
"Love Song","311","Greatest Hits '93 - '03","sunny summer rock for driving to the beach ","Playlist","USVR10400026","3mtukCAgd0mE260QcBfXAX"
"Steady, As She Goes","The Raconteurs","Broken Boy Soldiers","sunny summer rock for driving to the beach ","Playlist","USVT10600052","4xlEKYv7HmC8zXoJIbpZKM"
"Say It Ain't So","Weezer","Weezer","sunny summer rock for driving to the beach ","Playlist","USGF19962907","6VoIBz0VhCyz7OdEoRYDiA"
"Last Nite","The Strokes","Is This It","sunny summer rock for driving to the beach ","Playlist","USRC10100765","7kzKAuUzOITUauHAhoMoxA"
"Buddy Holly","Weezer","Weezer","sunny summer rock for driving to the beach ","Playlist","USGF19562907","3mwvKOyMmG77zZRunnxp9E"
"Beautiful Disaster","311","Transistor","sunny summer rock for driving to the beach ","Playlist","USCA19786867","0LtsuNRz3IMRrHCYO9fKRk"
"1973","James Blunt","All the Lost Souls","sunny summer rock for driving to the beach ","Playlist","USAT20703782","1BV0m40U0M4t1SLIsDnwZl"
"El Mañana","Gorillaz","Demon Days","sunny summer rock for driving to the beach ","Playlist","GBAYE0500173","0dcMqjeDpwqB2xhzMsld0p"
"White Room","Cream","Wheels Of Fire","sunny summer rock for driving to the beach ","Playlist","GBA076800030","3Xls4cNOwy01dtrNXb1inG"
"I'm So Green","CAN","Ege Bamyasi (Remastered)","sunny summer rock for driving to the beach ","Playlist","DEX170420806","6n67ryuhldW1hYh2Xvd7kd"
"I Feel Free","Cream","Fresh Cream","sunny summer rock for driving to the beach ","Playlist","GBA076600020","62nYkaIBesfvQSSwTjPnYS"
"Stylo (feat. Mos Def and Bobby Womack)","Gorillaz","Plastic Beach","sunny summer rock for driving to the beach ","Playlist","GBAYE0903021","6LUfuyLgvgqrykiTE6sJHY"
"Synchronize","Milky Chance","Synchronize","sunny summer rock for driving to the beach ","Playlist","DEVP22200014","6Ql7rNuoP90aIdgwQkPYBP"
"Glorious","Andreas Johnson","Liebling (France version)","sunny summer rock for driving to the beach ","Playlist","SEPQA9910010","3Mx6U6CpcvLj4fHYneg5RB"
